0.275000	0.705298	1
0.275000	0.698675	1
0.268333	0.605960	1
0.268333	0.579470	1
0.261667	0.513245	1
0.261667	0.506623	1
0.258333	0.427152	1
0.258333	0.420530	1
0.258333	0.413907	1
0.255000	0.394040	1
0.255000	0.387417	1
0.255000	0.380795	1
0.255000	0.367550	1
0.251667	0.367550	1
0.248333	0.354305	1
0.248333	0.347682	1
0.248333	0.341060	1
0.248333	0.334437	0
0.225000	0.685430	1
0.261667	0.692053	1
0.341667	0.698675	1
0.348333	0.698675	1
0.351667	0.698675	1
0.358333	0.698675	1
0.365000	0.698675	1
0.375000	0.698675	1
0.401667	0.698675	1
0.405000	0.692053	0
0.251667	0.519868	1
0.255000	0.519868	1
0.295000	0.500000	1
0.331667	0.493377	1
0.341667	0.493377	1
0.348333	0.493377	1
0.351667	0.493377	1
0.355000	0.493377	1
0.358333	0.493377	1
0.375000	0.480132	1
0.381667	0.480132	1
0.388333	0.480132	1
0.391667	0.480132	0
